Generation,evals,avg,std,min,max,best_one,fitness_best_one
14,336,[   8.         1651.67194625],[0.         6.29528497],[   8.        1625.2820805],[   8.         1663.67140432],"[7, 4, 5, 14, 23, 9, 10, 16, 18, 1, 22, 17, 15, 24, 19, 6, 21, 3, 8, 25, 20, 2, 11, 13, 12]","(8.0, 1625.282080504731)"
15,336,[   8.        1647.3398915],[0.         5.94307477],[   8.        1625.2820805],[   8.         1652.49761833],"[7, 4, 5, 14, 23, 9, 10, 16, 18, 1, 22, 17, 15, 24, 19, 6, 21, 3, 8, 25, 20, 2, 11, 13, 12]","(8.0, 1625.282080504731)"
16,330,[   8.         1643.22825088],[0.         6.18390892],[   8.         1620.41433357],[   8.         1649.13341486],"[7, 4, 5, 14, 23, 9, 10, 16, 18, 1, 22, 17, 15, 24, 19, 8, 21, 3, 6, 25, 20, 2, 11, 13, 12]","(8.0, 1620.4143335744957)"
17,324,[   8.         1638.16444263],[0.       5.666437],[   8.         1618.57671729],[   8.         1643.24141715],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 15, 17, 11, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1618.576717285415)"
18,356,[   8.        1634.4341617],[0.         5.71235656],[   8.         1618.57671729],[   8.         1640.27459295],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 15, 17, 11, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1618.576717285415)"
19,350,[   8.         1629.93404318],[0.       5.531755],[   8.         1618.57671729],[   8.         1638.28565317],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 15, 17, 11, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1618.576717285415)"
20,334,[   8.         1624.82252442],[0.         1.90827465],[   8.         1618.57671729],[   8.       1630.463765],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 15, 17, 11, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1618.576717285415)"
21,324,[   8.         1623.74870504],[0.         2.37599428],[   8.         1611.98908772],[   8.        1625.2820805],"[7, 4, 3, 14, 23, 9, 10, 16, 18, 1, 22, 17, 15, 24, 19, 8, 21, 5, 6, 25, 20, 2, 11, 13, 12]","(8.0, 1611.9890877241678)"
22,338,[   8.         1621.95390881],[0.         2.77592179],[   8.         1600.15060871],[   8.        1625.2820805],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1600.1506087139987)"
23,342,[   8.         1619.71825146],[0.         2.18094345],[   8.         1600.15060871],[   8.         1621.80885746],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1600.1506087139987)"
24,338,[   8.         1618.75651619],[0.         3.18934648],[   8.         1600.15060871],[   8.         1620.41433357],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1600.1506087139987)"
25,328,[   8.         1616.98739318],[0.         4.36584623],[   8.         1600.15060871],[   8.         1618.57671729],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 24, 9, 6, 21, 3, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1600.1506087139987)"
26,346,[   8.         1614.84829957],[0.         6.09531877],[   8.         1599.45639621],[   8.         1618.57671729],"[7, 4, 5, 14, 23, 25, 20, 16, 18, 1, 15, 17, 13, 24, 9, 6, 21, 3, 8, 19, 22, 2, 10, 11, 12]","(8.0, 1599.4563962103834)"
27,354,[   8.         1610.25125699],[0.         7.17410034],[   8.        1586.0278415],[   8.         1618.23490851],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 8, 19, 20, 2, 10, 13, 12]","(8.0, 1586.027841503137)"
28,344,[   8.         1603.98180263],[0.         5.10699301],[   8.         1585.00444159],[   8.         1611.98908772],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 19, 8, 2, 10, 13, 12]","(8.0, 1585.0044415936588)"
29,320,[   8.         1599.46638373],[0.        2.3853976],[   8.         1585.00444159],[   8.         1600.15060871],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 19, 8, 2, 10, 13, 12]","(8.0, 1585.0044415936588)"
30,328,[   8.         1598.59088029],[0.        3.3239203],[   8.         1585.00444159],[   8.         1600.15060871],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 19, 8, 2, 10, 13, 12]","(8.0, 1585.0044415936588)"
31,330,[   8.         1596.67441956],[0.         4.32316555],[   8.         1580.82014018],[   8.         1600.15060871],"[7, 4, 2, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 8, 19, 20, 5, 10, 13, 12]","(8.0, 1580.820140181079)"
32,332,[   8.         1593.35766143],[0.         4.70317425],[   8.         1572.37593639],[   8.         1597.25172282],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 19, 20, 8, 2, 10, 13, 12]","(8.0, 1572.3759363874287)"
33,344,[   8.         1589.77631943],[0.         4.79686819],[   8.         1572.37593639],[   8.         1596.20612147],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 19, 20, 8, 2, 10, 13, 12]","(8.0, 1572.3759363874287)"
34,340,[   8.         1585.49977273],[0.         2.63527924],[   8.         1572.37593639],[   8.         1590.75553089],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 19, 20, 8, 2, 10, 13, 12]","(8.0, 1572.3759363874287)"
35,346,[   8.         1583.87905754],[0.         3.01719051],[   8.         1569.55395081],[   8.        1586.0278415],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1569.5539508067548)"
36,354,[   8.         1582.50541552],[0.         4.10411634],[   8.         1569.55395081],[   8.         1585.00444159],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1569.5539508067548)"
37,334,[   8.         1579.47313501],[0.         4.83872109],[   8.         1569.55395081],[   8.         1585.00444159],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 3, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1569.5539508067548)"
38,340,[   8.         1575.18690985],[0.         3.89572662],[   8.         1565.54359131],[   8.         1580.82014018],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 20, 17, 15, 3, 9, 6, 21, 24, 19, 11, 8, 2, 10, 13, 12]","(8.0, 1565.5435913144092)"
39,342,[   8.         1571.95318214],[0.         1.40170853],[   8.         1557.10473043],[   8.         1572.37593639],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1557.1047304342949)"
40,344,[   8.         1571.35531321],[0.         2.01720357],[   8.         1557.10473043],[   8.         1572.37593639],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1557.1047304342949)"
41,344,[   8.         1570.00125406],[0.         2.83271127],[   8.         1555.52299094],[   8.         1572.37593639],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 20, 17, 15, 3, 6, 9, 21, 24, 19, 11, 8, 2, 10, 13, 12]","(8.0, 1555.5229909439254)"
42,344,[   8.         1568.00174463],[0.         3.37736149],[   8.         1555.52299094],[   8.         1570.04805267],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 20, 17, 15, 3, 6, 9, 21, 24, 19, 11, 8, 2, 10, 13, 12]","(8.0, 1555.5229909439254)"
43,342,[   8.         1565.91341245],[0.         4.52903213],[   8.         1555.52299094],[   8.         1569.55395081],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 20, 17, 15, 3, 6, 9, 21, 24, 19, 11, 8, 2, 10, 13, 12]","(8.0, 1555.5229909439254)"
44,336,[   8.         1561.98664009],[0.         4.22718635],[   8.         1555.52299094],[   8.        1568.3078007],"[7, 4, 5, 14, 23, 25, 22, 16, 18, 1, 20, 17, 15, 3, 6, 9, 21, 24, 19, 11, 8, 2, 10, 13, 12]","(8.0, 1555.5229909439254)"
45,338,[   8.         1557.99223024],[0.         1.73827299],[   8.         1552.13270497],[   8.         1560.36848686],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 9, 6, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1552.1327049717058)"
46,350,[   8.         1556.45939358],[0.         1.06545013],[   8.         1547.07818604],[   8.         1557.10473043],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1547.078186037869)"
47,346,[   8.         1555.76083173],[0.         1.27487028],[   8.         1547.07818604],[   8.         1557.10473043],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1547.078186037869)"
48,338,[   8.         1554.94648727],[0.        1.4716853],[   8.         1547.07818604],[   8.         1555.52299094],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1547.078186037869)"
49,346,[   8.         1554.23473616],[0.         1.96539266],[   8.         1545.87576338],[   8.         1555.52299094],"[7, 4, 2, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 3, 19, 13, 12]","(8.0, 1545.8757633790522)"
50,330,[   8.         1552.67016035],[0.         2.22436775],[   8.         1545.87576338],[   8.         1555.52299094],"[7, 4, 2, 14, 23, 25, 22, 16, 18, 1, 11, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 3, 19, 13, 12]","(8.0, 1545.8757633790522)"
51,346,[   8.         1551.01772854],[0.         2.40403574],[   8.         1542.58609738],[   8.         1552.61264177],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 11, 13, 12]","(8.0, 1542.5860973763597)"
52,332,[   8.         1549.35707477],[0.         2.60169368],[   8.         1542.58609738],[   8.         1552.16315897],"[7, 4, 3, 14, 23, 25, 22, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 11, 13, 12]","(8.0, 1542.5860973763597)"
53,346,[   8.         1546.85909963],[0.         0.71180954],[   8.         1542.10616058],[   8.         1547.07818604],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1542.10616057528)"
54,346,[   8.        1546.5478255],[0.         1.05545001],[   8.         1542.10616058],[   8.         1547.07818604],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1542.10616057528)"
55,336,[   8.        1545.8880059],[0.         1.35709858],[   8.         1542.10616058],[   8.         1547.07818604],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1542.10616057528)"
56,344,[   8.         1544.91427567],[0.        1.4215223],[   8.         1542.10616058],[   8.         1545.87576338],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1542.10616057528)"
57,358,[   8.         1543.97831859],[0.         1.51167743],[   8.         1540.52569066],[   8.         1545.87576338],"[7, 4, 3, 14, 23, 25, 20, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 2, 11, 13, 12]","(8.0, 1540.5256906639897)"
58,334,[   8.        1542.5747587],[0.         0.61335085],[   8.         1540.52569066],[   8.         1544.35234648],"[7, 4, 3, 14, 23, 25, 20, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 2, 11, 13, 12]","(8.0, 1540.5256906639897)"
59,340,[   8.         1542.18112377],[0.         0.41644781],[   8.         1539.44447796],[   8.         1542.58609738],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 19, 13, 12]","(8.0, 1539.4444779647304)"
60,334,[   8.         1541.86876136],[0.         0.51875721],[   8.         1539.27340302],[   8.         1542.10616058],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 22, 17, 15, 5, 6, 9, 21, 24, 19, 10, 8, 2, 20, 13, 12]","(8.0, 1539.273403023797)"
61,340,[   8.         1541.58787943],[0.         0.67860837],[   8.         1538.22185571],[   8.         1542.10616058],"[7, 4, 3, 14, 23, 25, 21, 16, 18, 1, 19, 17, 15, 5, 6, 9, 20, 24, 22, 10, 8, 2, 11, 13, 12]","(8.0, 1538.2218557095857)"
62,332,[   8.         1541.02093995],[0.         0.68224377],[   8.         1538.22185571],[   8.         1542.10616058],"[7, 4, 3, 14, 23, 25, 21, 16, 18, 1, 19, 17, 15, 5, 6, 9, 20, 24, 22, 10, 8, 2, 11, 13, 12]","(8.0, 1538.2218557095857)"
63,332,[   8.         1540.52621395],[0.         0.65706492],[   8.         1538.00564279],[   8.         1541.33250945],"[7, 4, 3, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 20, 24, 21, 10, 8, 2, 22, 13, 12]","(8.0, 1538.0056427942632)"
64,328,[   8.         1539.99988702],[0.         0.59941965],[   8.         1537.59035234],[   8.         1540.52569066],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 20, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 2, 19, 13, 12]","(8.0, 1537.5903523384125)"
65,354,[   8.         1539.55145608],[0.         0.58024652],[   8.         1537.35218086],[   8.        1540.0979399],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 20, 10, 8, 2, 22, 13, 12]","(8.0, 1537.352180857305)"
66,342,[   8.         1539.09668678],[0.         0.58038554],[   8.         1536.78541919],[   8.         1540.01386347],"[7, 4, 2, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 3, 20, 13, 12]","(8.0, 1536.7854191917686)"
67,354,[   8.         1538.68526171],[0.        0.6441933],[   8.         1536.78541919],[   8.         1539.44447796],"[7, 4, 2, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 3, 20, 13, 12]","(8.0, 1536.7854191917686)"
68,344,[   8.         1538.08807574],[0.      0.35233],[   8.         1536.78541919],[   8.         1538.81144081],"[7, 4, 2, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 21, 24, 22, 10, 8, 3, 20, 13, 12]","(8.0, 1536.7854191917686)"
69,338,[   8.        1537.8367507],[0.         0.32982075],[   8.         1535.34396018],[   8.         1538.22185571],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 20, 24, 21, 10, 8, 2, 22, 13, 12]","(8.0, 1535.3439601837135)"
70,342,[   8.        1537.5929286],[0.         0.39750367],[   8.         1535.34396018],[   8.         1537.98784185],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 19, 17, 15, 5, 6, 9, 20, 24, 21, 10, 8, 2, 22, 13, 12]","(8.0, 1535.3439601837135)"
71,336,[   8.         1537.29420571],[0.         0.43509097],[   8.        1533.0111323],[   8.         1537.59035234],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 2, 17, 13, 12]","(8.0, 1533.0111322973326)"
72,340,[   8.         1537.00816502],[0.         0.54636342],[   8.        1533.0111323],[   8.         1537.35218086],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 2, 17, 13, 12]","(8.0, 1533.0111322973326)"
73,326,[   8.         1536.63789503],[0.        0.6477211],[   8.        1533.0111323],[   8.         1537.26973958],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 2, 17, 13, 12]","(8.0, 1533.0111322973326)"
74,326,[   8.         1536.25665679],[0.        0.8175128],[   8.        1533.0111323],[   8.         1536.78541919],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 2, 17, 13, 12]","(8.0, 1533.0111322973326)"
75,336,[   8.         1535.63151317],[0.         0.93695584],[   8.         1532.73102241],[   8.         1536.78541919],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 4, 17, 13, 12]","(8.0, 1532.731022408052)"
76,342,[   8.         1534.92425592],[0.         0.89651414],[   8.         1532.73102241],[   8.         1535.59563211],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 4, 17, 13, 12]","(8.0, 1532.731022408052)"
77,354,[   8.         1534.42142263],[0.         1.10002182],[   8.         1532.73102241],[   8.         1535.34396018],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 21, 22, 20, 10, 8, 4, 17, 13, 12]","(8.0, 1532.731022408052)"
78,348,[   8.         1533.38167776],[0.         0.77890075],[   8.         1531.00291162],[   8.         1535.24371796],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 20, 22, 21, 10, 8, 2, 17, 13, 12]","(8.0, 1531.002911623741)"
79,334,[   8.         1532.96739362],[0.        0.2323085],[   8.         1531.00291162],[   8.        1533.0111323],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 20, 22, 21, 10, 8, 2, 17, 13, 12]","(8.0, 1531.002911623741)"
80,342,[   8.         1532.89071752],[0.         0.38614341],[   8.         1531.00291162],[   8.        1533.0111323],"[7, 3, 4, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 20, 22, 21, 10, 8, 2, 17, 13, 12]","(8.0, 1531.002911623741)"
81,328,[   8.         1532.72674973],[0.         0.56705564],[   8.         1530.72280173],[   8.        1533.0111323],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 20, 22, 21, 10, 8, 4, 17, 13, 12]","(8.0, 1530.7228017344605)"
82,326,[   8.         1532.41075177],[0.         0.72238193],[   8.         1530.72280173],[   8.        1533.0111323],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 15, 5, 6, 9, 20, 22, 21, 10, 8, 4, 17, 13, 12]","(8.0, 1530.7228017344605)"
83,354,[   8.         1531.88242477],[0.         0.75121572],[   8.         1529.41233827],[   8.         1532.73102241],"[7, 3, 2, 14, 23, 25, 11, 16, 18, 1, 24, 19, 13, 5, 6, 9, 21, 22, 20, 10, 8, 4, 17, 15, 12]","(8.0, 1529.4123382698845)"
84,344,[   8.         1531.16874724],[0.         0.38770411],[   8.        1529.3896139],[   8.         1532.06600362],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 11, 5, 6, 9, 20, 22, 21, 10, 8, 4, 17, 13, 12]","(8.0, 1529.3896139031922)"
85,338,[   8.        1530.9169284],[0.         0.29745079],[   8.         1528.91030471],[   8.         1531.00291162],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 21, 22, 20, 10, 8, 4, 11, 13, 12]","(8.0, 1528.91030470933)"
86,326,[   8.         1530.80243998],[0.        0.4133135],[   8.         1528.91030471],[   8.         1531.00291162],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 21, 22, 20, 10, 8, 4, 11, 13, 12]","(8.0, 1528.91030470933)"
87,330,[   8.         1530.59122983],[0.         0.52827598],[   8.         1528.91030471],[   8.         1531.00291162],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 21, 22, 20, 10, 8, 4, 11, 13, 12]","(8.0, 1528.91030470933)"
88,350,[   8.         1530.20274782],[0.         0.59324533],[   8.         1528.91030471],[   8.         1530.72280173],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 21, 22, 20, 10, 8, 4, 11, 13, 12]","(8.0, 1528.91030470933)"
89,334,[   8.        1529.6984135],[0.         0.48659055],[   8.       1528.660055],[   8.         1530.34913008],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 11, 5, 6, 9, 20, 22, 21, 10, 8, 4, 13, 17, 12]","(8.0, 1528.6600550008206)"
90,338,[   8.        1529.3007044],[0.         0.25551992],[   8.         1526.90208404],[   8.         1529.41233827],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 21, 10, 8, 4, 11, 13, 12]","(8.0, 1526.9020840357384)"
91,350,[   8.         1529.15478676],[0.         0.35670296],[   8.         1526.90208404],[   8.         1529.41233827],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 21, 10, 8, 4, 11, 13, 12]","(8.0, 1526.9020840357384)"
92,344,[   8.         1528.88470005],[0.         0.43603512],[   8.         1526.90208404],[   8.        1529.3896139],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 21, 10, 8, 4, 11, 13, 12]","(8.0, 1526.9020840357384)"
93,324,[   8.         1528.63309483],[0.         0.54728884],[   8.         1526.90208404],[   8.         1528.91030471],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 21, 10, 8, 4, 11, 13, 12]","(8.0, 1526.9020840357384)"
94,342,[   8.         1528.32863679],[0.         0.67900763],[   8.         1526.90208404],[   8.         1528.91030471],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 21, 10, 8, 4, 11, 13, 12]","(8.0, 1526.9020840357384)"
95,352,[   8.        1527.7919194],[0.        0.6482654],[   8.         1526.39204454],[   8.       1528.660055],"[7, 3, 2, 14, 23, 25, 15, 16, 18, 1, 24, 19, 17, 5, 6, 9, 20, 22, 11, 10, 8, 4, 21, 13, 12]","(8.0, 1526.3920445435435)"
